Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-dawpod28 because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
yloo3
lucylou

Training file_len = 3234143

-----------
|  TRAIN  |
-----------

[0m 3s (389 38%) 3.4849 (3.1003)]
[0m 3s (390 39%) 3.4842 (3.1944)]
[0m 3s (390 39%) 3.4842 (3.1944)]
[0m 4s (391 39%) 3.4811 (2.2732)]
[0m 4s (392 39%) 3.4797 (2.9491)]
[0m 4s (393 39%) 3.4789 (3.1709)]
[0m 4s (394 39%) 3.4772 (2.7841)]
[0m 4s (396 39%) 3.4767 (3.1438)]
[0m 4s (397 39%) 3.4764 (3.3376)]
[0m 4s (400 40%) 3.4763 (3.3830)]
[0m 4s (400 40%) 3.4763 (3.3830)]
[0m 4s (402 40%) 3.4760 (3.2380)]
[0m 4s (409 40%) 3.4756 (2.9607)]
[0m 4s (410 41%) 3.4724 (2.1731)]
[0m 4s (410 41%) 3.4724 (2.1731)]
[0m 4s (411 41%) 3.4711 (2.9332)]
[0m 4s (413 41%) 3.4703 (3.1247)]
[0m 4s (414 41%) 3.4701 (3.3561)]
[0m 4s (417 41%) 3.4700 (3.1000)]
[0m 4s (418 41%) 3.4696 (3.2887)]
[0m 4s (419 41%) 3.4676 (2.6355)]
[0m 4s (420 42%) 3.4660 (2.8071)]
[0m 4s (420 42%) 3.4660 (2.8071)]
[0m 4s (421 42%) 3.4651 (3.0764)]
[0m 4s (422 42%) 3.4636 (2.8441)]
[0m 4s (423 42%) 3.4634 (3.3761)]
[0m 4s (430 43%) 3.4744 (4.9106)]
[0m 4s (440 44%) 3.4757 (3.8400)]
[0m 4s (450 45%) 3.4715 (2.9340)]
[0m 4s (460 46%) 3.4689 (3.9207)]
[0m 4s (470 47%) 3.4669 (3.0404)]
[0m 4s (477 47%) 3.4619 (2.6080)]
[0m 4s (480 48%) 3.4628 (3.2267)]
[0m 4s (489 48%) 3.4610 (2.8649)]
[0m 4s (490 49%) 3.4606 (3.2507)]
[0m 4s (490 49%) 3.4606 (3.2507)]
[0m 5s (491 49%) 3.4603 (3.3485)]
[0m 5s (494 49%) 3.4597 (2.8914)]
[0m 5s (495 49%) 3.4589 (3.0525)]
[0m 5s (498 49%) 3.4583 (2.4797)]
[0m 5s (499 49%) 3.4581 (3.3724)]
[0m 5s (500 50%) 3.4582 (3.5163)]
[0m 5s (501 50%) 3.4564 (2.5177)]
[0m 5s (502 50%) 3.4562 (3.3755)]
[0m 5s (504 50%) 3.4558 (3.1884)]
[0m 5s (506 50%) 3.4550 (2.9491)]
[0m 5s (507 50%) 3.4541 (2.9731)]
[0m 5s (508 50%) 3.4537 (3.2410)]
[0m 5s (509 50%) 3.4534 (3.2894)]
[0m 5s (510 51%) 3.4518 (2.6573)]
[0m 5s (510 51%) 3.4518 (2.6573)]
[0m 5s (511 51%) 3.4509 (3.0090)]
[0m 5s (513 51%) 3.4503 (3.0994)]
[0m 5s (515 51%) 3.4502 (3.3254)]
[0m 5s (519 51%) 3.4494 (2.9954)]
