Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-h7lac9vx because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
ight
Become yo
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (186 62%) 3.0147 (2.0604)]
[0m 0s (187 62%) 3.0102 (2.1644)]
[0m 0s (188 62%) 3.0076 (2.5331)]
[0m 0s (189 63%) 3.0066 (2.8019)]
[0m 0s (189 63%) 3.0066 (2.8019)]
[0m 0s (192 64%) 3.0090 (2.9061)]
[0m 0s (194 64%) 3.0045 (2.5384)]
[0m 0s (195 65%) 3.0010 (2.3278)]
[0m 0s (195 65%) 3.0010 (2.3278)]
[0m 0s (196 65%) 2.9973 (2.2808)]
[0m 0s (197 65%) 2.9946 (2.4647)]
[0m 0s (198 66%) 2.9949 (3.0379)]
[0m 0s (199 66%) 2.9913 (2.2878)]
[0m 0s (200 66%) 2.9885 (2.4371)]
[0m 0s (201 67%) 2.9884 (2.9620)]
[0m 0s (201 67%) 2.9884 (2.9620)]
[0m 0s (202 67%) 2.9880 (2.8999)]
[0m 0s (204 68%) 2.9866 (2.0587)]
[0m 0s (204 68%) 2.9866 (2.0587)]
[0m 0s (206 68%) 2.9835 (2.3408)]
[0m 0s (207 69%) 2.9794 (2.1457)]
[0m 0s (207 69%) 2.9794 (2.1457)]
[0m 0s (208 69%) 2.9787 (2.8365)]
[0m 0s (209 69%) 2.9759 (2.3805)]
[0m 0s (210 70%) 2.9702 (1.7903)]
[0m 0s (210 70%) 2.9702 (1.7903)]
[0m 0s (213 71%) 2.9702 (2.9453)]
[0m 0s (213 71%) 2.9702 (2.9453)]
[0m 0s (214 71%) 2.9668 (2.2440)]
[0m 0s (215 71%) 2.9641 (2.3824)]
[0m 0s (216 72%) 2.9605 (2.1912)]
[0m 0s (216 72%) 2.9605 (2.1912)]
[0m 0s (217 72%) 2.9596 (2.7701)]
[0m 0s (218 72%) 2.9570 (2.3971)]
[0m 1s (219 73%) 2.9561 (2.7473)]
[0m 1s (219 73%) 2.9561 (2.7473)]
[0m 1s (220 73%) 2.9525 (2.1745)]
[0m 1s (221 73%) 2.9483 (2.0142)]
[0m 1s (222 74%) 2.9470 (2.6629)]
[0m 1s (222 74%) 2.9470 (2.6629)]
[0m 1s (223 74%) 2.9468 (2.8905)]
