Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p2i45w2y because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
y contraries
E
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 22s (496 62%) 3.7662 (3.6900)]
[0m 22s (496 62%) 3.7662 (3.6900)]
[0m 22s (497 62%) 3.7647 (3.0607)]
[0m 22s (498 62%) 3.7643 (3.5233)]
[0m 22s (499 62%) 3.7639 (3.5914)]
[0m 22s (500 62%) 3.7637 (3.6535)]
[0m 22s (501 62%) 3.7613 (2.5423)]
[0m 22s (502 62%) 3.7599 (3.0969)]
[0m 22s (503 62%) 3.7581 (2.8611)]
[0m 22s (504 63%) 3.7565 (2.9374)]
[0m 22s (504 63%) 3.7565 (2.9374)]
[0m 22s (506 63%) 3.7562 (3.5048)]
[0m 22s (507 63%) 3.7540 (2.6458)]
[0m 22s (508 63%) 3.7526 (3.0189)]
[0m 23s (509 63%) 3.7525 (3.7017)]
[0m 23s (510 63%) 3.7517 (3.3389)]
[0m 23s (511 63%) 3.7500 (2.8991)]
[0m 23s (512 64%) 3.7497 (3.5849)]
[0m 23s (512 64%) 3.7497 (3.5849)]
[0m 23s (513 64%) 3.7495 (3.6302)]
[0m 23s (518 64%) 3.7485 (3.0449)]
[0m 23s (519 64%) 3.7475 (3.2064)]
[0m 23s (520 65%) 3.7461 (3.0127)]
[0m 23s (520 65%) 3.7461 (3.0127)]
[0m 23s (521 65%) 3.7448 (3.0783)]
[0m 23s (522 65%) 3.7432 (2.9166)]
[0m 23s (528 66%) 3.7435 (3.8820)]
[0m 23s (529 66%) 3.7416 (2.7480)]
[0m 23s (530 66%) 3.7414 (3.6728)]
[0m 24s (531 66%) 3.7409 (3.4369)]
