Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-35x9f4at because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
e thee.

CLAUD
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 2s (279 46%) 3.2273 (3.0608)]
[0m 2s (281 46%) 3.2259 (2.7117)]
[0m 2s (282 47%) 3.2220 (2.1153)]
[0m 2s (282 47%) 3.2220 (2.1153)]
[0m 2s (283 47%) 3.2216 (3.0969)]
[0m 2s (284 47%) 3.2199 (2.7522)]
[0m 2s (285 47%) 3.2189 (2.9309)]
[0m 2s (286 47%) 3.2165 (2.5431)]
[0m 3s (287 47%) 3.2154 (2.8821)]
[0m 3s (288 48%) 3.2152 (3.1664)]
[0m 3s (288 48%) 3.2152 (3.1664)]
[0m 3s (290 48%) 3.2148 (2.9931)]
[0m 3s (291 48%) 3.2110 (2.1101)]
[0m 3s (294 49%) 3.2183 (3.5314)]
[0m 3s (300 50%) 3.2125 (2.8545)]
[0m 3s (301 50%) 3.2101 (2.4945)]
[0m 3s (302 50%) 3.2079 (2.5427)]
[0m 3s (303 50%) 3.2060 (2.6215)]
[0m 3s (304 50%) 3.2048 (2.8479)]
[0m 3s (305 50%) 3.2030 (2.6450)]
[0m 3s (306 51%) 3.2018 (2.8327)]
[0m 3s (306 51%) 3.2018 (2.8327)]
[0m 3s (307 51%) 3.2010 (2.9746)]
[0m 3s (308 51%) 3.1994 (2.7142)]
[0m 3s (311 51%) 3.1990 (2.5893)]
[0m 3s (312 52%) 3.1983 (2.9885)]
[0m 3s (312 52%) 3.1983 (2.9885)]
[0m 3s (313 52%) 3.1961 (2.4983)]
[0m 3s (314 52%) 3.1942 (2.6008)]
[0m 3s (315 52%) 3.1930 (2.8006)]
[0m 3s (316 52%) 3.1929 (3.1611)]
[0m 3s (317 52%) 3.1894 (2.1128)]
[0m 3s (318 53%) 3.1894 (3.1823)]
[0m 3s (318 53%) 3.1894 (3.1823)]
[0m 3s (320 53%) 3.1889 (2.8821)]
[0m 3s (321 53%) 3.1871 (2.6305)]
[0m 3s (322 53%) 3.1854 (2.6417)]
[0m 3s (323 53%) 3.1843 (2.8307)]
[0m 3s (324 54%) 3.1820 (2.4327)]
[0m 3s (324 54%) 3.1820 (2.4327)]
[0m 3s (325 54%) 3.1787 (2.0945)]
[0m 3s (326 54%) 3.1775 (2.7898)]
[0m 3s (327 54%) 3.1768 (2.9584)]
[0m 3s (328 54%) 3.1763 (3.0114)]
[0m 3s (329 54%) 3.1748 (2.6847)]
[0m 3s (330 55%) 3.1726 (2.4514)]
[0m 3s (330 55%) 3.1726 (2.4514)]
[0m 3s (332 55%) 3.1700 (2.3001)]
[0m 3s (333 55%) 3.1695 (2.9819)]
[0m 3s (334 55%) 3.1685 (2.8524)]
[0m 3s (336 56%) 3.1689 (3.2949)]
[0m 3s (340 56%) 3.1671 (2.4281)]
[0m 3s (341 56%) 3.1670 (3.1367)]
[0m 3s (342 56%) 3.1651 (2.5216)]
[0m 3s (342 56%) 3.1651 (2.5216)]
[0m 3s (343 57%) 3.1650 (3.1325)]
[0m 3s (344 57%) 3.1631 (2.5196)]
[0m 3s (345 57%) 3.1607 (2.3335)]
[0m 3s (346 57%) 3.1606 (3.1237)]
[0m 3s (348 57%) 3.1606 (3.0939)]
[0m 3s (348 57%) 3.1606 (3.0939)]
[0m 3s (349 58%) 3.1584 (2.4023)]
[0m 3s (350 58%) 3.1576 (2.8876)]
[0m 3s (351 58%) 3.1558 (2.5376)]
[0m 3s (354 59%) 3.1622 (3.2248)]
[0m 3s (360 60%) 3.1558 (2.3843)]
[0m 3s (360 60%) 3.1558 (2.3843)]
