Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-askujl9r because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
mortal blessin
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 4s (402 67%) 3.2638 (2.5226)]
[0m 4s (402 67%) 3.2638 (2.5226)]
[0m 4s (403 67%) 3.2637 (3.2246)]
[0m 4s (404 67%) 3.2630 (2.9899)]
[0m 4s (405 67%) 3.2605 (2.2386)]
[0m 4s (406 67%) 3.2580 (2.2683)]
[0m 4s (408 68%) 3.2595 (3.5147)]
[0m 4s (411 68%) 3.2564 (2.0558)]
[0m 4s (412 68%) 3.2556 (2.9325)]
[0m 4s (414 69%) 3.2558 (3.2588)]
[0m 4s (415 69%) 3.2549 (2.8755)]
[0m 4s (417 69%) 3.2540 (2.7860)]
[0m 4s (419 69%) 3.2533 (2.7067)]
[0m 4s (420 70%) 3.2518 (2.6240)]
[0m 4s (420 70%) 3.2518 (2.6240)]
[0m 4s (421 70%) 3.2509 (2.8503)]
[0m 4s (424 70%) 3.2493 (2.4450)]
[0m 4s (426 71%) 3.2489 (3.0878)]
[0m 4s (426 71%) 3.2489 (3.0878)]
[0m 4s (427 71%) 3.2465 (2.2219)]
[0m 4s (429 71%) 3.2462 (3.0718)]
[0m 4s (432 72%) 3.2449 (2.3048)]
[0m 4s (432 72%) 3.2449 (2.3048)]
[0m 4s (433 72%) 3.2433 (2.5727)]
[0m 4s (434 72%) 3.2422 (2.7833)]
[0m 4s (435 72%) 3.2411 (2.7458)]
[0m 4s (436 72%) 3.2396 (2.6021)]
[0m 4s (437 72%) 3.2396 (3.2173)]
[0m 4s (438 73%) 3.2424 (4.4586)]
[0m 4s (442 73%) 3.2390 (2.4951)]
[0m 4s (443 73%) 3.2376 (2.6359)]
