Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-bndzyxmz because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
p;
And thou no
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 31s (499 62%) 3.4424 (2.6592)]
[0m 31s (500 62%) 3.4422 (3.3442)]
[0m 31s (501 62%) 3.4419 (3.3178)]
[0m 31s (503 62%) 3.4412 (2.7420)]
[0m 31s (504 63%) 3.4399 (2.8080)]
[0m 31s (504 63%) 3.4399 (2.8080)]
[0m 31s (505 63%) 3.4380 (2.4973)]
[0m 31s (506 63%) 3.4363 (2.5680)]
[0m 31s (508 63%) 3.4360 (3.2096)]
[0m 31s (509 63%) 3.4351 (2.9583)]
[0m 32s (510 63%) 3.4344 (3.0890)]
[0m 32s (512 64%) 3.4348 (3.4173)]
[0m 32s (514 64%) 3.4338 (3.0065)]
[0m 32s (515 64%) 3.4337 (3.3785)]
[0m 32s (516 64%) 3.4335 (3.3354)]
[0m 32s (517 64%) 3.4329 (3.1068)]
[0m 32s (518 64%) 3.4328 (3.3688)]
[0m 32s (519 64%) 3.4327 (3.4098)]
[0m 32s (520 65%) 3.4315 (2.8172)]
[0m 32s (520 65%) 3.4315 (2.8172)]
[0m 32s (521 65%) 3.4306 (2.9630)]
[0m 32s (522 65%) 3.4299 (3.0386)]
[0m 32s (523 65%) 3.4287 (2.8368)]
[0m 32s (524 65%) 3.4286 (3.3656)]
[0m 33s (525 65%) 3.4284 (3.3370)]
[0m 33s (527 65%) 3.4278 (2.9454)]
[0m 33s (528 66%) 3.4267 (2.8375)]
[0m 33s (528 66%) 3.4267 (2.8375)]
[0m 33s (529 66%) 3.4254 (2.7627)]
[0m 33s (530 66%) 3.4254 (3.4101)]
[0m 33s (531 66%) 3.4253 (3.3790)]
[0m 33s (532 66%) 3.4239 (2.6882)]
[0m 33s (533 66%) 3.4234 (3.1500)]
[0m 33s (534 66%) 3.4230 (3.2461)]
[0m 33s (536 67%) 3.4236 (3.4771)]
[0m 33s (537 67%) 3.4223 (2.7310)]
[0m 33s (538 67%) 3.4219 (3.2324)]
[0m 33s (539 67%) 3.4218 (3.3316)]
[0m 34s (540 67%) 3.4211 (3.0757)]
[0m 34s (541 67%) 3.4207 (3.1888)]
[0m 34s (542 67%) 3.4191 (2.5571)]
[0m 34s (543 67%) 3.4183 (2.9708)]
[0m 34s (544 68%) 3.4199 (4.3143)]
[0m 34s (548 68%) 3.4178 (3.0748)]
[0m 34s (549 68%) 3.4161 (2.4974)]
[0m 34s (550 68%) 3.4156 (3.1450)]
[0m 34s (551 68%) 3.4151 (3.1333)]
[0m 34s (552 69%) 3.4136 (2.5908)]
[0m 34s (552 69%) 3.4136 (2.5908)]
[0m 34s (553 69%) 3.4122 (2.6022)]
[0m 35s (555 69%) 3.4122 (3.1849)]
[0m 35s (557 69%) 3.4117 (2.9767)]
[0m 35s (560 70%) 3.4106 (2.5893)]
[0m 35s (560 70%) 3.4106 (2.5893)]
[0m 35s (561 70%) 3.4098 (2.9536)]
[0m 35s (562 70%) 3.4091 (3.0265)]
[0m 35s (563 70%) 3.4086 (3.1155)]
[0m 35s (565 70%) 3.4076 (2.6195)]
[0m 35s (566 70%) 3.4064 (2.6951)]
[0m 35s (567 70%) 3.4059 (3.1423)]
[0m 35s (568 71%) 3.4050 (2.8911)]
[0m 35s (568 71%) 3.4050 (2.8911)]
[0m 36s (570 71%) 3.4043 (2.8273)]
[0m 36s (571 71%) 3.4038 (3.1252)]
[0m 36s (572 71%) 3.4026 (2.6998)]
[0m 36s (573 71%) 3.4015 (2.8019)]
[0m 36s (574 71%) 3.4008 (2.9976)]
[0m 36s (576 72%) 3.4014 (3.1299)]
[0m 36s (580 72%) 3.4005 (2.6561)]
[0m 36s (581 72%) 3.3998 (3.0038)]
[0m 36s (582 72%) 3.3988 (2.8314)]
[0m 36s (583 72%) 3.3980 (2.9176)]
[0m 36s (584 73%) 3.3986 (3.7602)]
[0m 37s (586 73%) 3.3974 (2.6536)]
[0m 37s (587 73%) 3.3959 (2.5311)]
[0m 37s (589 73%) 3.3947 (2.5573)]
[0m 37s (590 73%) 3.3939 (2.9637)]
[0m 37s (592 74%) 3.3929 (2.6078)]
[0m 37s (592 74%) 3.3929 (2.6078)]
[0m 37s (593 74%) 3.3921 (2.8973)]
[0m 37s (594 74%) 3.3917 (3.1577)]
[0m 37s (595 74%) 3.3914 (3.2313)]
[0m 37s (596 74%) 3.3912 (3.2337)]
[0m 37s (597 74%) 3.3896 (2.4278)]
[0m 37s (599 74%) 3.3885 (2.7167)]
[0m 38s (600 75%) 3.3875 (2.7896)]
[0m 38s (600 75%) 3.3875 (2.7896)]
[0m 38s (601 75%) 3.3871 (3.1725)]
[0m 38s (602 75%) 3.3865 (2.9949)]
[0m 38s (604 75%) 3.3862 (3.1347)]
[0m 38s (605 75%) 3.3858 (3.1962)]
[0m 38s (606 75%) 3.3846 (2.6222)]
[0m 38s (607 75%) 3.3837 (2.8449)]
[0m 38s (608 76%) 3.3832 (3.0633)]
[0m 38s (608 76%) 3.3832 (3.0633)]
[0m 38s (609 76%) 3.3827 (3.0735)]
[0m 38s (610 76%) 3.3824 (3.2254)]
[0m 38s (611 76%) 3.3810 (2.5404)]
[0m 38s (614 76%) 3.3805 (2.9978)]
[0m 39s (615 76%) 3.3798 (2.9275)]
[0m 39s (616 77%) 3.3799 (3.4603)]
[0m 39s (617 77%) 3.3789 (2.7313)]
[0m 39s (620 77%) 3.3781 (2.8252)]
[0m 39s (621 77%) 3.3780 (3.3209)]
[0m 39s (622 77%) 3.3770 (2.7209)]
[0m 39s (623 77%) 3.3765 (3.0923)]
[0m 39s (624 78%) 3.3750 (2.3979)]
[0m 39s (624 78%) 3.3750 (2.3979)]
[0m 39s (625 78%) 3.3743 (2.9499)]
